source,authors,year,title,doi,page,volume,issue
"Martín-Cereceda, M. et al. (2007) ‘Classification of the peritrich ciliate Opisthonecta matiensis (Martín-Cereceda et al. 1999) as Telotrochidium matiense nov. comb., based on new observations and SSU rDNA phylogeny’, European Journal of Protistology, 43(4), pp. 265–279. Available at: https://doi.org/10.1016/j.ejop.2007.04.003.","Martín-Cereceda, M. et al. ",2007,"Classification of the peritrich ciliate Opisthonecta matiensis (Martín-Cereceda et al. 1999) as Telotrochidium matiense nov. comb., based on new observations and SSU rDNA phylogeny",10.1016/j.ejop.2007.04.003,265–279,43,(4)
"Martin-Gomez, M.T., Valenzuela-Lopez, N. and Cano-Lira, J.F. (2019) ‘Knufia epidermidis: a rare finding in a paediatric dermatological sample’, Clinical Microbiology and Infection, 25(1), pp. 65–66. Available at: https://doi.org/10.1016/j.cmi.2018.08.006.","Martin-Gomez, M.T., Valenzuela-Lopez, N. and Cano-Lira, J.F. ",2019,Knufia epidermidis: a rare finding in a paediatric dermatological sample,10.1016/j.cmi.2018.08.006,65–66,25,(1)
"Massana, R. et al. (2004) ‘Phylogenetic and Ecological Analysis of Novel Marine Stramenopiles’, Applied and Environmental Microbiology, 70(6), pp. 3528–3534. Available at: https://doi.org/10.1128/AEM.70.6.3528-3534.2004.","Massana, R. et al. ",2004,Phylogenetic and Ecological Analysis of Novel Marine Stramenopiles,10.1128/AEM.70.6.3528-3534.2004,3528–3534,70,(6)
"Massana, R. et al. (2009) ‘Grazing rates and functional diversity of uncultured heterotrophic flagellates’, The ISME Journal, 3(5), pp. 588–596. Available at: https://doi.org/10.1038/ismej.2008.130.","Massana, R. et al. ",2009,Grazing rates and functional diversity of uncultured heterotrophic flagellates,10.1038/ismej.2008.130,588–596,3,(5)
"Matveeva, L.K. (1986) ‘Pelagic rotifers of Lake Glubokoe from 1897 to 1984’, Hydrobiologia, 141(1–2), pp. 45–54. Available at: https://doi.org/10.1007/BF00007479.","Matveeva, L.K. ",1986,Pelagic rotifers of Lake Glubokoe from 1897 to 1984,10.1007/BF00007479,45–54,141,(1–2)
"McGovern, R.J. et al. (2006) ‘Host Range of Itersonilia perplexans and Management of Itersonilia Petal Blight of China Aster’, Plant Health Progress, 7(1), p. 7. Available at: https://doi.org/10.1094/PHP-2006-1018-02-RS.","McGovern, R.J. et al. ",2006,Host Range of Itersonilia perplexans and Management of Itersonilia Petal Blight of China Aster,10.1094/PHP-2006-1018-02-RS,7,7,(1)
"McGregor, G.B. and Sendall, B.C. (2013) ‘Komvophoron kgarii sp. nov. (Oscillatoriales), a new epipelic cyanobacterium from subtropical eastern Australia’, Phycologia, 52(6), pp. 472–480. Available at: https://doi.org/10.2216/13-143.1.","McGregor, G.B. and Sendall, B.C. ",2013,"Komvophoron kgarii sp. nov. (Oscillatoriales), a new epipelic cyanobacterium from subtropical eastern Australia",10.2216/13-143.1,472–480,52,(6)
"McKindles, K.M. et al. (2021) ‘Isolation and Characterization of Rhizophydiales (Chytridiomycota), Obligate Parasites of Planktothrix agardhii in a Laurentian Great Lakes Embayment’, Applied and Environmental Microbiology. Edited by A.J.M. Stams, 87(4), pp. e02308-20. Available at: https://doi.org/10.1128/AEM.02308-20.","McKindles, K.M. et al. ",2021,"Isolation and Characterization of Rhizophydiales (Chytridiomycota), Obligate Parasites of Planktothrix agardhii in a Laurentian Great Lakes Embayment",10.1128/AEM.02308-20,e02308-20,87,(4)
"McMahon, J.W. (1965) ‘SOME PHYSICAL FACTORS INFLUENCING THE FEEDING BEHAVIOR OF DAPHNIA MAGNA STRAUS’, Canadian Journal of Zoology, 43(4), pp. 603–611. Available at: https://doi.org/10.1139/z65-060.","McMahon, J.W. ",1965,SOME PHYSICAL FACTORS INFLUENCING THE FEEDING BEHAVIOR OF DAPHNIA MAGNA STRAUS,10.1139/z65-060,603–611,43,(4)
"McMahon, J.W. and Rigler, F.H. (1963) ‘MECHANISMS REGULATING THE FEEDING RATE OF DAPHNIA MAGNA STRAUS’, Canadian Journal of Zoology, 41(2), pp. 321–332. Available at: https://doi.org/10.1139/z63-027.","McMahon, J.W. and Rigler, F.H. ",1963,MECHANISMS REGULATING THE FEEDING RATE OF DAPHNIA MAGNA STRAUS,10.1139/z63-027,321–332,41,(2)
"McMahon, J.W. and Rigler, F.H. (1965) ‘FEEDING RATE OF DAPHNIA MAGNA STRAUS IN DIFFERENT FOODS LABELED WITH RADIOACTIVE PHOSPHORUS1’, Limnology and Oceanography, 10(1), pp. 105–113. Available at: https://doi.org/10.4319/lo.1965.10.1.0105.","McMahon, J.W. and Rigler, F.H. ",1965,FEEDING RATE OF DAPHNIA MAGNA STRAUS IN DIFFERENT FOODS LABELED WITH RADIOACTIVE PHOSPHORUS1,10.4319/lo.1965.10.1.0105,105–113,10,(1)
"McManus, G.B., Schoener, D.M. and Haberlandt, K. (2012) ‘Chloroplast symbiosis in a marine ciliate: ecophysiology and the risks and rewards of hosting foreign organelles’, Frontiers in Microbiology, 3. Available at: https://doi.org/10.3389/fmicb.2012.00321.","McManus, G.B., Schoener, D.M. and Haberlandt, K. ",2012,Chloroplast symbiosis in a marine ciliate: ecophysiology and the risks and rewards of hosting foreign organelles,10.3389/fmicb.2012.00321,NA,3,NA
"Medina‐Durán, J.H. et al. (2020) ‘Morphology and Phylogenetic Position of Two New Gregarine Species (Apicomplexa: Eugregarinorida) Parasitizing the Lubber Grasshopper Taeniopoda centurio (Drury, 1770) (Insecta: Orthoptera: Romaleidae) in Mexico’, Journal of Eukaryotic Microbiology, 67(1), pp. 4–17. Available at: https://doi.org/10.1111/jeu.12748.","Medina‐Durán, J.H. et al. ",2020,"Morphology and Phylogenetic Position of Two New Gregarine Species (Apicomplexa: Eugregarinorida) Parasitizing the Lubber Grasshopper Taeniopoda centurio (Drury, 1770) (Insecta: Orthoptera: Romaleidae) in Mexico",10.1111/jeu.12748,4–17,1770,NA
"Medwed, C. et al. (2021) ‘Ecophysiological, morphological, and biochemical traits of free-living Diplosphaera chodatii (Trebouxiophyceae) reveal adaptation to harsh environmental conditions’, Protoplasma, 258(6), pp. 1187–1199. Available at: https://doi.org/10.1007/s00709-021-01620-6.","Medwed, C. et al. ",2021,"Ecophysiological, morphological, and biochemical traits of free-living Diplosphaera chodatii (Trebouxiophyceae) reveal adaptation to harsh environmental conditions",10.1007/s00709-021-01620-6,1187–1199,258,(6)
"Mehlhorn, H. (ed.) (2016) Encyclopedia of Parasitology. Berlin, Heidelberg: Springer Berlin Heidelberg. Available at: https://doi.org/10.1007/978-3-662-43978-4.","Mehlhorn, H.",2016,NA,10.1007/978-3-662-43978-4,NA,NA,NA
"Mehner, T. et al. (2005) ‘Composition of fish communities in German lakes as related to lake morphology, trophic state, shore structure and human‐use intensity’, Freshwater Biology, 50(1), pp. 70–85. Available at: https://doi.org/10.1111/j.1365-2427.2004.01294.x.","Mehner, T. et al. ",2005,"Composition of fish communities in German lakes as related to lake morphology, trophic state, shore structure and human‐use intensity",10.1111/j.1365-2427.2004.01294.x,70–85,50,(1)
"Mehrabi, M., Asgari, B. and Hemmati, R. (2018) ‘Knufia perfecta, a new black yeast from Iran, and a key to Knufia species’, Nova Hedwigia, 106(3–4), pp. 519–534. Available at: https://doi.org/10.1127/nova_hedwigia/2017/0450.","Mehrabi, M., Asgari, B. and Hemmati, R. ",2018,"Knufia perfecta, a new black yeast from Iran, and a key to Knufia species",10.1127/nova_hedwigia/2017/0450,519–534,106,(3–4)
"Melao, M.D.G.G. (2004) ‘Life history, biomass and production of two planktonic cyclopoid copepods in a shallow subtropical reservoir’, Journal of Plankton Research, 26(8), pp. 909–923. Available at: https://doi.org/10.1093/plankt/fbh080.","Melao, M.D.G.G. ",2004,"Life history, biomass and production of two planktonic cyclopoid copepods in a shallow subtropical reservoir",10.1093/plankt/fbh080,909–923,26,(8)
"Middelhoven, W.J., Scorzetti, G. and Fell, J.W. (2004) ‘Systematics of the anamorphic basidiomycetous yeast genus Trichosporon Behrend with the description of five novel species: Trichosporon vadense, T. smithiae, T. dehoogii, T. scarabaeorum and T. gamsii’, International Journal of Systematic and Evolutionary Microbiology, 54(3), pp. 975–986. Available at: https://doi.org/10.1099/ijs.0.02859-0.","Middelhoven, W.J., Scorzetti, G. and Fell, J.W. ",2004,"Systematics of the anamorphic basidiomycetous yeast genus Trichosporon Behrend with the description of five novel species: Trichosporon vadense, T. smithiae, T. dehoogii, T. scarabaeorum and T. gamsii",10.1099/ijs.0.02859-0,975–986,54,(3)
"Mikrjukov, K.A. and Mylnikov, A.P. (2001) ‘A study of the fine structure and the mitosis of a lamellicristate amoeba, Micronuclearia podoventralis gen. et sp. nov. (Nucleariidae, Rotosphaerida)’, European Journal of Protistology, 37(1), pp. 15–24. Available at: https://doi.org/10.1078/0932-4739-00783.","Mikrjukov, K.A. and Mylnikov, A.P. ",2001,"A study of the fine structure and the mitosis of a lamellicristate amoeba, Micronuclearia podoventralis gen. et sp. nov. (Nucleariidae, Rotosphaerida)",10.1078/0932-4739-00783,15–24,37,(1)
"Miller, C.B., Johnson, J.K. and Heinle, D.R. (1977) ‘Growth rules in the marine copepod genus Acartia1,2’, Limnology and Oceanography, 22(2), pp. 326–335. Available at: https://doi.org/10.4319/lo.1977.22.2.0326.","Miller, C.B., Johnson, J.K. and Heinle, D.R. ",1977,"Growth rules in the marine copepod genus Acartia1,2",10.4319/lo.1977.22.2.0326,326–335,22,(2)
"Minnis, A.M. et al. (2012) ‘Phylogeny and taxonomic revision of the <I>Planistromellaceae</I> including its coelomycetous anamorphs: contributions towards a monograph of the genus <I>Kellermania</I>’, Persoonia - Molecular Phylogeny and Evolution of Fungi, 29(1), pp. 11–28. Available at: https://doi.org/10.3767/003158512X658766.","Minnis, A.M. et al. ",2012,Phylogeny and taxonomic revision of the <I>Planistromellaceae</I> including its coelomycetous anamorphs: contributions towards a monograph of the genus <I>Kellermania</I>,10.3767/003158512X658766,11–28,29,(1)
"Modeo, L. et al. (2001) ‘Trichites of Strombidium (Ciliophora, Oligotrichida) Are Extrusomes’, Journal of Eukaryotic Microbiology, 48(1), pp. 95–101. Available at: https://doi.org/10.1111/j.1550-7408.2001.tb00420.x.","Modeo, L. et al. ",2001,"Trichites of Strombidium (Ciliophora, Oligotrichida) Are Extrusomes",10.1111/j.1550-7408.2001.tb00420.x,95–101,48,(1)
"Moestrup, Ø., Hansen, G. and Daugbjerg, N. (2008) ‘Studies on Woloszynskioid Dinoflagellates III: on The Ultrastructure and Phylogeny of Borghiella Dodgei Gen. et sp. nov., a Cold-water Species from Lake Tovel, N. Italy, and on B. Tenuissima Comb. Nov. (syn. Woloszynskia Tenuissima)’, Phycologia, 47(1), pp. 54–78. Available at: https://doi.org/10.2216/07-32.1.","Moestrup, Ø., Hansen, G. and Daugbjerg, N. ",2008,"Studies on Woloszynskioid Dinoflagellates III: on The Ultrastructure and Phylogeny of Borghiella Dodgei Gen. et sp. nov., a Cold-water Species from Lake Tovel, N. Italy, and on B. Tenuissima Comb. Nov. (syn. Woloszynskia Tenuissima)",10.2216/07-32.1,54–78,47,(1)
"Molnar, K. and Fernando, C.H. (1974) ‘Some new Eimeria (Protozoa, Coccidia) from freshwater fishes in Ontario, Canada’, Canadian Journal of Zoology, 52(3), pp. 413–419. Available at: https://doi.org/10.1139/z74-050.","Molnar, K. and Fernando, C.H. ",1974,"Some new Eimeria (Protozoa, Coccidia) from freshwater fishes in Ontario, Canada",10.1139/z74-050,413–419,52,(3)
"Monkai, J. and Liu, J.-K. (2013) ‘Planistromellaceae (Botryosphaeriales)’, Cryptogamie, Mycologie, 34(1), p. 45. Available at: https://doi.org/10.7872/crym.v34.iss1.2013.45.","Monkai, J. and Liu, J.-K. ",2013,Planistromellaceae (Botryosphaeriales),10.7872/crym.v34.iss1.2013.45,45,34,(1)
"Montagnes, D. (1996) ‘Growth responses of planktonic ciliates in the genera Strobilidium and Strombidium’, Marine Ecology Progress Series, 130, pp. 241–254. Available at: https://doi.org/10.3354/meps130241.","Montagnes, D. ",1996,Growth responses of planktonic ciliates in the genera Strobilidium and Strombidium,10.3354/meps130241,241–254,130,NA
"Montagnes, D. and Lessard, E. (1999) ‘Population dynamics of the marine planktonic ciliate Strombidinopsis multiauris: its potential to control phytoplankton blooms’, Aquatic Microbial Ecology, 20, pp. 167–181. Available at: https://doi.org/10.3354/ame020167.","Montagnes, D. and Lessard, E. ",1999,Population dynamics of the marine planktonic ciliate Strombidinopsis multiauris: its potential to control phytoplankton blooms,10.3354/ame020167,167–181,20,NA
"Montagnes, D.J.S., Berger, J.D. and Taylor, F.J.R. (1996) ‘Growth rate of the marine planktonic ciliate Strombidinopsis cheshiri Snyder and Ohman as a function of food concentration and interclonal variability’, Journal of Experimental Marine Biology and Ecology, 206(1–2), pp. 121–132. Available at: https://doi.org/10.1016/S0022-0981(96)02626-3.","Montagnes, D.J.S., Berger, J.D. and Taylor, F.J.R. ",1996,Growth rate of the marine planktonic ciliate Strombidinopsis cheshiri Snyder and Ohman as a function of food concentration and interclonal variability,10.1016/S0022-0981(96)02626-3,121–132,206,(1–2)
"Moore, M.V., Folt, C.F. and Stemberger, R.S. (1996) ‘Consequences of elevated temperatures for zooplankton assemblages in temperate lakes’, Archiv für Hydrobiologie, 135(3), pp. 289–319. Available at: https://doi.org/10.1127/archiv-hydrobiol/135/1996/289.","Moore, M.V., Folt, C.F. and Stemberger, R.S. ",1996,Consequences of elevated temperatures for zooplankton assemblages in temperate lakes,10.1127/archiv-hydrobiol/135/1996/289,289–319,135,(3)
"Moresco, G.A. et al. (2017) ‘Drivers of phytoplankton richness and diversity components in Neotropical floodplain lakes, from small to large spatial scales’, Hydrobiologia, 799(1), pp. 203–215. Available at: https://doi.org/10.1007/s10750-017-3214-3.","Moresco, G.A. et al. ",2017,"Drivers of phytoplankton richness and diversity components in Neotropical floodplain lakes, from small to large spatial scales",10.1007/s10750-017-3214-3,203–215,799,(1)
"Muck, P. and Lampert, W. (1980) ‘Feeding of freshwater filter-feeders at very low food concentrations: Poor evidence for “threshold feeding” and “optimal foraging” in Daphnia longispina and Eudiaptomus gracilis’, Journal of Plankton Research, 2(4), pp. 367–379. Available at: https://doi.org/10.1093/plankt/2.4.367.","Muck, P. and Lampert, W. ",1980,Feeding of freshwater filter-feeders at very low food concentrations: Poor evidence for “threshold feeding” and “optimal foraging” in Daphnia longispina and Eudiaptomus gracilis,10.1093/plankt/2.4.367,367–379,2,(4)
"Muftah Eltariki, F.E., Tiwari, K. and Alhoot, M.A. (2021) ‘Molecular characterization and genetic diversity of four undescribed novel oleaginous Mortierella alpina strains from Libya’, F1000Research, 10, p. 895. Available at: https://doi.org/10.12688/f1000research.70644.1.","Muftah Eltariki, F.E., Tiwari, K. and Alhoot, M.A. ",2021,Molecular characterization and genetic diversity of four undescribed novel oleaginous Mortierella alpina strains from Libya,10.12688/f1000research.70644.1,895,10,NA
"Müller, H. and Schlegel, A. (1999) ‘Responses of three freshwater planktonic ciliates with different feeding modes to cryptophyte and diatom prey’, Aquatic Microbial Ecology, 17, pp. 49–60. Available at: https://doi.org/10.3354/ame017049.","Müller, H. and Schlegel, A. ",1999,Responses of three freshwater planktonic ciliates with different feeding modes to cryptophyte and diatom prey,10.3354/ame017049,49–60,17,NA
"Muschiol, D. et al. (2008) ‘Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode’, Nematology, 10(1), pp. 55–62. Available at: https://doi.org/10.1163/156854108783360203.","Muschiol, D. et al. ",2008,Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode,10.1163/156854108783360203,55–62,10,(1)
"Myklestad, S. et al. (1989) ‘Rate of release of extracellular amino acids and carbohydrates from the marine diatom Chaetoceros affinis’, Journal of Plankton Research, 11(4), pp. 763–773. Available at: https://doi.org/10.1093/plankt/11.4.763.","Myklestad, S. et al. ",1989,Rate of release of extracellular amino acids and carbohydrates from the marine diatom Chaetoceros affinis,10.1093/plankt/11.4.763,763–773,11,(4)
"Nair, V.M.G., Kostichka, C.J. and Kuntz, J.E. (1979) ‘Sirococcus Clavigignenti-Juglandacearum : An Undescribed Species Causing Canker on Butternut’, Mycologia, 71(3), pp. 641–646. Available at: https://doi.org/10.1080/00275514.1979.12021049.","Nair, V.M.G., Kostichka, C.J. and Kuntz, J.E. ",1979,Sirococcus Clavigignenti-Juglandacearum : An Undescribed Species Causing Canker on Butternut,10.1080/00275514.1979.12021049,641–646,71,(3)
"Najafzadeh, M.J. et al. (2011) ‘Fonsecaea multimorphosa sp. nov, a new species of Chaetothyriales isolated from a feline cerebral abscess’, Fungal Biology, 115(10), pp. 1066–1076. Available at: https://doi.org/10.1016/j.funbio.2011.06.007.","Najafzadeh, M.J. et al. ",2011,"Fonsecaea multimorphosa sp. nov, a new species of Chaetothyriales isolated from a feline cerebral abscess",10.1016/j.funbio.2011.06.007,1066–1076,115,(10)
